FPC,Description,Size,Ref EAN,Packsize,Subbrand,Norm lineup
81499709,PA ABD M5P S3 4x42 CP CEE {CS} [81499709] (4015400537410),S3,4015400537410,Carry Pack,BSOD,BSOD Carry Pack
81499717,PA ABD M5P S4 4x36 CP CEE {CS} [81499717] (4015400537441),S4,4015400537441,Carry Pack,BSOD,BSOD Carry Pack
81499728,PA ABD M5P S5 4x28 CP CEE {CS} [81499728] (4015400537625),S5,4015400537625,Carry Pack,BSOD,BSOD Carry Pack
81499733,PA ABD M5P S6 4x24 CP CEE {CS} [81499733] (4015400537830),S6,4015400537830,Carry Pack,BSOD,BSOD Carry Pack
81501365,PA NBD M5P S2 4x43 CP CEE {CS} [81501365] (4015400704287),S2,4015400704287,Carry Pack,BSOD,BSOD Carry Pack
81555670,PA ABD M6 S3 4x42 CP CEE {CS} [81555670] (4015400537410),S3,4015400537410,Carry Pack,BSOD,BSOD Carry Pack
81555681,PA ABD M6 S4 4x36 CP CEE {CS} [81555681] (4015400988236),S4,4015400988236,Carry Pack,BSOD,BSOD Carry Pack
81555697,PA ABD M6 S5 6x28 CP CEE {CS} [81555697] (4015400774587),S5,4015400774587,Carry Pack,BSOD,BSOD Carry Pack
81555709,PA ABD M6 S6 4x24 CP CEE {CS} [81555709] (4015400537830),S6,4015400537830,Carry Pack,BSOD,BSOD Carry Pack
81555797,PA ABD M6 S3 4x42 CP CEE GYO {CS} [81555797] (4015400537410),S3,4015400537410,Carry Pack,BSOD,BSOD Carry Pack
81555809,PA ABD M6 S4 4x36 CP CEE GYO {CS} [81555809] (4015400988236),S4,4015400988236,Carry Pack,BSOD,BSOD Carry Pack
81555834,PA ABD M6 S5 6x28 CP CEE GYO {CS} [81555834] (4015400774587),S5,4015400774587,Carry Pack,BSOD,BSOD Carry Pack
81561944,PA NBD M6 S2 4x43 CP CEE {CS} [81561944] (4015400704287),S2,4015400704287,Carry Pack,BSOD,BSOD Carry Pack
81527651,PA NBD M5P S2 2x100 GP CEE {CS} [81527651] (4015400736141),S2,4015400736141,Giant Pack,BSOD,BSOD Giant Pack
81527652,PA ABD M5P S3 2x90 GP CEE {CS} [81527652] (4015400736196),S3,4015400736196,Giant Pack,BSOD,BSOD Giant Pack
81527653,PA ABD M5P S4 2x76 GP CEE {CS} [81527653] (4015400736240),S4,4015400736240,Giant Pack,BSOD,BSOD Giant Pack
81527654,PA ABD M5P S4P 2x70 GP CEE {CS} [81527654] (4015400736295),S4P,4015400736295,Giant Pack,BSOD,BSOD Giant Pack
81527655,PA ABD M5P S5 2x64 GP CEE {CS} [81527655] (4015400736349),S5,4015400736349,Giant Pack,BSOD,BSOD Giant Pack
81527656,PA ABD M5P S6 2x56 GP CEE {CS} [81527656] (4015400736394),S6,4015400736394,Giant Pack,BSOD,BSOD Giant Pack
81529515,PA ABD M5P S3 2x90 GP CEE GYO {CS} [81529515] (4015400736196),S3,4015400736196,Giant Pack,BSOD,BSOD Giant Pack
81529516,PA ABD M5P S4 2x76 GP CEE GYO {CS} [81529516] (4015400736240),S4,4015400736240,Giant Pack,BSOD,BSOD Giant Pack
81529517,PA ABD M5P S4P 2x70 GP CEE GYO {CS} [81529517] (4015400736295),S4P,4015400736295,Giant Pack,BSOD,BSOD Giant Pack
