country,customer,line_up,promo_id,promo_start,promo_end,sos,eos,volume
Croatia,METRO CROATIA,FSC SATINGL 200ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,7
Croatia,METRO CROATIA,MSC FUSION PROGLIDE GELS 170ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,5
Croatia,METRO CROATIA,MSC PROGLIDE FOAM 250ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,8
Croatia,METRO CROATIA,MSC GILLE FOAMS 200ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,24
Croatia,METRO CROATIA,MSC SERIES GELS 200ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,15
Croatia,METRO CROATIA,MSC SERIES FOAMS 250ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,25
Croatia,METRO CROATIA,MBR DISP BLUE3 3,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,82
Croatia,METRO CROATIA,MBR DISP BLUE3 6+2,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,28
Croatia,METRO CROATIA,MBR DISP GILLETTE2 5,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,28
Croatia,METRO CROATIA,MSC MACH3 GELS 200ML,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,7
Croatia,METRO CROATIA,MBR BLUEII DISP,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,23
Croatia,METRO CROATIA,MBR DISP BLUEII+ 5 + DISP BLUE3 1 Promo,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,23
Croatia,METRO CROATIA,MBR DISP BLUEII+ 5,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,16
Croatia,METRO CROATIA,MBR DISP BLUEII 5,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,21
Croatia,METRO CROATIA,FBR DISP VENUS2 4+2,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,21
Croatia,METRO CROATIA,FBR DISP BLUEII 5,BPT-376739916,07/12/2018,07/25/2018,07/02/2018,07/25/2018,22
Croatia,METRO CROATIA,MSC FUSION PROGLIDE GELS 170ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,10
Croatia,METRO CROATIA,MSC PROGLIDE FOAM 250ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,8
Croatia,METRO CROATIA,MSC GILLE FOAMS 200ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,24
Croatia,METRO CROATIA,MSC SERIES GELS 200ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,15
Croatia,METRO CROATIA,MSC SERIES FOAMS 250ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,2
Croatia,METRO CROATIA,MBR DISP BLUE3 3,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,102
Croatia,METRO CROATIA,MBR DISP BLUE3 6+2,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,28
Croatia,METRO CROATIA,MBR DISP BLUE3 5+1,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,24
Croatia,METRO CROATIA,MBR DISP GILLETTE2 5,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,28
Croatia,METRO CROATIA,MSC MACH3 GELS 200ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,7
Croatia,METRO CROATIA,MBR BLUEII DISP,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,23
Croatia,METRO CROATIA,MBR DISP BLUEII+ 5 + DISP BLUE3 1 Promo,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,23
Croatia,METRO CROATIA,MBR DISP BLUEII+ 5,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,16
Croatia,METRO CROATIA,MBR DISP BLUEII 5,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,21
Croatia,METRO CROATIA,FBR DISP VENUS2 4+2,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,2
Croatia,METRO CROATIA,FBR DISP BLUEII 5,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,22
Croatia,METRO CROATIA,MSC FUSION PROGLIDE GELS 170ML,BPT-376739973,08/09/2018,08/22/2018,07/30/2018,08/22/2018,5
Croatia,METRO CROATIA,MBR SYST MACH3 2UP,BPT-376740087,08/09/2018,08/22/2018,08/09/2018,08/22/2018,48
Croatia,METRO CROATIA,MBR SYST MACH3 SENS 1UP,BPT-376740087,08/09/2018,08/22/2018,08/09/2018,08/22/2018,58
Croatia,METRO CROATIA,ORALB MANUAL BRUSH EXPERT,BPT-376740096,08/02/2018,08/15/2018,07/23/2018,08/15/2018,1
Croatia,METRO CROATIA,ORALB MANUAL PROMO PACK,BPT-376740096,08/02/2018,08/15/2018,07/23/2018,08/15/2018,16
Croatia,METRO CROATIA,ORALB MANUAL BRUSH EXPERT,BPT-376740113,07/12/2018,07/25/2018,07/02/2018,07/25/2018,2
Croatia,METRO CROATIA,ORALB MANUAL PROMO PACK,BPT-376740113,07/12/2018,07/25/2018,07/02/2018,07/25/2018,18
Croatia,METRO CROATIA,H&S 400ML/ 360ML,BPT-376740130,07/20/2018,08/02/2018,07/10/2018,08/02/2018,37
Croatia,METRO CROATIA,H&S SH 250/225ML,BPT-376740130,07/20/2018,08/02/2018,07/10/2018,08/02/2018,35
Croatia,METRO CROATIA,H&S 540ML,BPT-376740130,07/20/2018,08/02/2018,07/10/2018,08/02/2018,40
Croatia,METRO CROATIA,H&S 90ML,BPT-376740130,07/20/2018,08/02/2018,07/10/2018,08/02/2018,26
Croatia,METRO CROATIA,ALW LIN 1PACK,BPT-376740278,07/13/2018,07/26/2018,07/03/2018,07/26/2018,31
Croatia,METRO CROATIA,ALW PD ULTRA 1PACK,BPT-376740278,07/13/2018,07/26/2018,07/03/2018,07/26/2018,22
Croatia,METRO CROATIA,ALW PD ULTRA 2PACK,BPT-376740278,07/13/2018,07/26/2018,07/03/2018,07/26/2018,39
Croatia,METRO CROATIA,ALW LIN 3PACK,BPT-376740278,07/13/2018,07/26/2018,07/03/2018,07/26/2018,101
Croatia,METRO CROATIA,ALW LIN 1PACK,BPT-376740309,08/16/2018,08/29/2018,08/06/2018,08/29/2018,31
Croatia,METRO CROATIA,ALW PD ULTRA 1PACK,BPT-376740309,08/16/2018,08/29/2018,08/06/2018,08/29/2018,22
Croatia,METRO CROATIA,ALW PD ULTRA 2PACK,BPT-376740309,08/16/2018,08/29/2018,08/06/2018,08/29/2018,61
Croatia,METRO CROATIA,ALW LIN 3PACK,BPT-376740309,08/16/2018,08/29/2018,08/06/2018,08/29/2018,45
Croatia,METRO CROATIA,NATU PD THCK 1PACK,BPT-376740371,07/26/2018,08/08/2018,07/26/2018,08/08/2018,34
Croatia,METRO CROATIA,NATU PD THCK 2PACK,BPT-376740371,07/26/2018,08/08/2018,07/26/2018,08/08/2018,43
Croatia,METRO CROATIA,NATU PD ULT 1PACK,BPT-376740371,07/26/2018,08/08/2018,07/26/2018,08/08/2018,31
Croatia,METRO CROATIA,NATU PD ULT 2PACK,BPT-376740371,07/26/2018,08/08/2018,07/26/2018,08/08/2018,22
Croatia,METRO CROATIA,PAMPERS JUMBOPACK DCT,BPT-376740407,07/27/2018,08/09/2018,07/17/2018,08/09/2018,130
Croatia,METRO CROATIA,PAMPERS MAINLINE PANTS JUMBO PACK,BPT-376740407,07/27/2018,08/09/2018,07/17/2018,08/09/2018,40
Croatia,METRO CROATIA,PAMPERS PC VP,BPT-376740439,08/17/2018,08/30/2018,08/07/2018,08/30/2018,140
Croatia,METRO CROATIA,PAMPERS JUMBOPACK DCT,BPT-376740439,08/17/2018,08/30/2018,08/07/2018,08/30/2018,19
Croatia,METRO CROATIA,WIPES SEXTET ARTEMIS 3,BPT-376740469,07/19/2018,08/01/2018,07/09/2018,08/01/2018,65
Croatia,METRO CROATIA,WIPES SINGLE ARTEMIS 3,BPT-376740469,07/19/2018,08/01/2018,07/09/2018,08/01/2018,64
Croatia,METRO CROATIA,OLDS AP/DO SPRAY,BPT-376740486,07/19/2018,08/01/2018,07/09/2018,08/01/2018,41
Croatia,METRO CROATIA,OLDS AP/DO STICK,BPT-376740486,07/19/2018,08/01/2018,07/09/2018,08/01/2018,31
Croatia,METRO CROATIA,OLDS SHOWGEL 250ML,BPT-376740486,07/19/2018,08/01/2018,07/09/2018,08/01/2018,12
Croatia,METRO CROATIA,OLDS SHOWGEL 400ML,BPT-376740486,07/19/2018,08/01/2018,07/09/2018,08/01/2018,12
Croatia,METRO CROATIA,OLDS ASL 100 ML,BPT-376740486,07/19/2018,08/01/2018,07/09/2018,08/01/2018,13
Croatia,METRO CROATIA,OLDS AP/DO SPRAY,BPT-376740545,08/16/2018,08/29/2018,08/06/2018,08/29/2018,30
Croatia,METRO CROATIA,OLDS AP/DO STICK,BPT-376740545,08/16/2018,08/29/2018,08/06/2018,08/29/2018,37
Croatia,METRO CROATIA,OLDS SHOWGEL 250ML,BPT-376740545,08/16/2018,08/29/2018,08/06/2018,08/29/2018,18
Croatia,METRO CROATIA,OLDS SHOWGEL 400ML,BPT-376740545,08/16/2018,08/29/2018,08/06/2018,08/29/2018,16
Croatia,METRO CROATIA,OLDS ASL 100 ML,BPT-376740545,08/16/2018,08/29/2018,08/06/2018,08/29/2018,12
Croatia,METRO CROATIA,OLDS SHOWGEL 250ML,BPT-376740604,07/12/2018,07/25/2018,07/02/2018,07/25/2018,16
Croatia,METRO CROATIA,OLDS SHOWGEL 400ML,BPT-376740604,07/12/2018,07/25/2018,07/02/2018,07/25/2018,23
Croatia,METRO CROATIA,ALW PD ULTRA 1PACK,BPT-378437627,07/20/2018,08/02/2018,07/10/2018,08/02/2018,25
Croatia,METRO CROATIA,ALW PD ULTRA 2PACK,BPT-378437627,07/20/2018,08/02/2018,07/10/2018,08/02/2018,92
Croatia,METRO CROATIA,JAR 900ML,BPT-378438308,07/05/2018,07/18/2018,07/02/2018,07/18/2018,141
Croatia,METRO CROATIA,JAR 1350ML,BPT-378439677,07/26/2018,08/08/2018,07/26/2018,08/08/2018,147
Croatia,METRO CROATIA,JAR 450ML BASE,BPT-378442135,07/20/2018,08/02/2018,07/20/2018,08/02/2018,70
Croatia,METRO CROATIA,JAR 650ML MIX SRP,BPT-378442204,07/19/2018,08/01/2018,07/19/2018,08/01/2018,324
Croatia,METRO CROATIA,JAR ADW 18CT/24CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,5
Croatia,METRO CROATIA,JAR ADW 27CT/36CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,2
Croatia,METRO CROATIA,JAR ADW 45CT/60CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,32
Croatia,METRO CROATIA,JAR ADW 63/84CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,37
Croatia,METRO CROATIA,JAR ADW 72/96CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,87
Croatia,METRO CROATIA,JAR ADW GIGABOX 135CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,14
Croatia,METRO CROATIA,JAR ADW 10CT,BPT-378444334,07/20/2018,08/02/2018,07/20/2018,08/02/2018,7
Croatia,METRO CROATIA,LENOR BIG SIZE BASE 1.9L,BPT-378445505,07/19/2018,08/01/2018,07/19/2018,08/01/2018,100
Croatia,METRO CROATIA,LENOR BIG SIZE PREMIUM 1.5L,BPT-378445505,07/19/2018,08/01/2018,07/19/2018,08/01/2018,79
Croatia,METRO CROATIA,LENOR BIG SIZE IBN PREMIUM 1.38L,BPT-378445505,07/19/2018,08/01/2018,07/19/2018,08/01/2018,72
Croatia,METRO CROATIA,LENOR SMALL SIZE BASE 0.93L,BPT-378447207,08/02/2018,08/15/2018,08/02/2018,08/15/2018,76
Croatia,METRO CROATIA,LENOR SMALL SIZE PREMIUM 0.78L,BPT-378447207,08/02/2018,08/15/2018,08/02/2018,08/15/2018,63
Croatia,METRO CROATIA,LENOR SMALL SIZE IBN PREMIUM 0.75L,BPT-378447207,08/02/2018,08/15/2018,08/02/2018,08/15/2018,54
Croatia,METRO CROATIA,LENOR SRP TRIAL SIZE BASE,BPT-378447918,08/09/2018,08/22/2018,08/09/2018,08/22/2018,1059
Croatia,METRO CROATIA,LENOR BIG SIZE BASE 1.9L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,135
Croatia,METRO CROATIA,LENOR BIG SIZE PREMIUM 1.5L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,56
Croatia,METRO CROATIA,LENOR SMALL SIZE BASE 0.93L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,71
Croatia,METRO CROATIA,LENOR SMALL SIZE PREMIUM 0.78L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,19
Croatia,METRO CROATIA,LENOR BUNDLES MID SIZE,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,36
Croatia,METRO CROATIA,LENOR SRP TRIAL SIZE BASE,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,137
Croatia,METRO CROATIA,LENOR SMALL SIZE IBN PREMIUM 0.75L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,23
Croatia,METRO CROATIA,LENOR BIG SIZE IBN PREMIUM 1.38L,BPT-378448849,07/26/2018,08/08/2018,07/26/2018,08/08/2018,23
Croatia,METRO CROATIA,LENOR 5L/4.75L PGP,BPT-378450641,07/19/2018,08/01/2018,07/19/2018,08/01/2018,439
Croatia,METRO CROATIA,JAR 5L PGP,BPT-378452256,07/26/2018,08/08/2018,07/26/2018,08/08/2018,38
Croatia,METRO CROATIA,JAR SURFACE PGP,BPT-378452256,07/26/2018,08/08/2018,07/26/2018,08/08/2018,276
Croatia,METRO CROATIA,Mr Proper 750ml WC PGP,BPT-378455385,07/05/2018,07/18/2018,07/05/2018,07/18/2018,2
Croatia,METRO CROATIA,MR PROPER 5L PGP,BPT-378455385,07/05/2018,07/18/2018,07/05/2018,07/18/2018,205
