order_nr,fpc_id,year,month,day,customer,uom,shipment
,81530060,2016,2,8,Muller Drogeria Hungary,su,29.4
,81530060,2016,2,22,Muller Drogeria Hungary,su,29.4
,81530060,2016,2,8,PK Solvent Czech Rep.,su,29.4
,81530060,2016,2,22,PK Solvent Czech Rep.,su,29.4
,81528066,2016,2,1,AUCHAN POLAND [2000422074],su,58.8
,81528066,2016,2,15,BALTIC LOGISTIC SOLUTIONS [2002785938],su,205.8
,81528066,2016,2,8,Drogerie Markt Croatia,su,58.8
,81528066,2016,2,8,NAVO POLAND DISTRIBUTOR [2000561397],su,58.8
,81528066,2016,2,1,Orbico Slovenia,su,205.8
,81528066,2016,2,15,Orbico Slovenia,su,441
,81528066,2016,2,22,Orbico Slovenia,su,58.8
,81528066,2016,2,1,PK Solvent Czech Rep.,su,29.4
,81528066,2016,2,15,SANITEX ESTONIA [2002730421],su,29.4
,81528066,2016,2,8,SELGROS POLAND [2000341203],su,29.4
,81528066,2016,2,15,SELGROS POLAND [2000341203],su,176.4
,81528066,2016,2,22,SELGROS POLAND [2000341203],su,176.4
,81530068,2016,2,8,Tesco Hungary,su,140
,81530068,2016,2,15,Tesco Hungary,su,308
,81530068,2016,2,22,Tesco Hungary,su,728
,81530068,2016,2,31,Tesco Hungary,su,28
,81530068,2016,2,1,Tesco Slovak Rep.,su,286.3
,81530068,2016,2,8,Tesco Slovak Rep.,su,116.2
,81530068,2016,2,15,Tesco Slovak Rep.,su,115.5
,81530083,2016,2,1,Tesco Hungary,su,168
,81530083,2016,2,8,Tesco Hungary,su,28
,81530083,2016,2,8,Tesco Slovak Rep.,su,56
,81528072,2016,2,1,BALTIC LOGISTIC SOLUTIONS [2002785938],su,84
,81528072,2016,2,22,Esa Logistika s.r.o. Slovak Re,su,28
,81528072,2016,2,1,TESCO POLAND [2000438544],su,1400
,81528072,2016,2,22,TESCO POLAND [2000438544],su,1204
,81528072,2016,2,31,TESCO POLAND [2000438544],su,1260
,81499857,2016,2,8,Auchan Hungary,su,2.5
,81499857,2016,2,15,Auchan Hungary,su,14.17
,81499857,2016,2,22,Auchan Hungary,su,80
,81499857,2016,2,31,Auchan Hungary,su,0.83
,81499857,2016,2,15,Globus Czech Rep.,su,33.33
,81499857,2016,2,22,Globus Czech Rep.,su,66.66
,81499857,2016,2,8,Krajcik Emil Slovak Rep.,su,88.33
,81499857,2016,2,8,Muller Drogeria Hungary,su,139.99
,81499857,2016,2,31,Orbico Hungary,su,33.33
,81499857,2016,2,1,Orbico Slovenia,su,33.33
,81499857,2016,2,8,Orbico Slovenia,su,133.33
,81499857,2016,2,22,PK Solvent Czech Rep.,su,33.33
,81499857,2016,2,1,PK Solvent Slovak Rep.,su,33.33
,81499857,2016,2,22,PK Solvent Slovak Rep.,su,33.33
,81499857,2016,2,15,Rossmann Hungary,su,699.97
,81499857,2016,2,8,Spar Hungary,su,41.67
,81499817,2016,2,1,Auchan Hungary,su,8.33
,81499817,2016,2,8,Krajcik Emil Slovak Rep.,su,111.66
,81499817,2016,2,1,Muller Drogeria Hungary,su,139.99
,81499817,2016,2,1,Spar Hungary,su,199.99
,81499612,2016,2,1,BALTIC LOGISTIC SOLUTIONS [2002785938],su,66.66
,81499612,2016,2,8,CARREFOUR POLAND [2000551514],su,33.33
,81499612,2016,2,15,CARREFOUR POLAND [2000551514],su,66.66
,81499612,2016,2,22,CARREFOUR POLAND [2000551514],su,100
,81499612,2016,2,1,Globus Czech Rep.,su,366.65
,81499612,2016,2,8,Globus Czech Rep.,su,766.64
,81499612,2016,2,8,NAVO POLAND DISTRIBUTOR [2000561397],su,33.33
,81499612,2016,2,15,SANITEX LITHUANIA [2002730423],su,133.33
,81530090,2016,2,8,Esa Logistika s.r.o. Slovak Re,su,8.7
,81530090,2016,2,22,Esa Logistika s.r.o. Slovak Re,su,8.7
,81530090,2016,2,1,Metro Slovak Rep.,su,26.1
,81530090,2016,2,8,Metro Slovak Rep.,su,4.83
,81530090,2016,2,1,PK Solvent Czech Rep.,su,313.21
,81530090,2016,2,8,PK Solvent Czech Rep.,su,278.41
,81530090,2016,2,15,PK Solvent Czech Rep.,su,243.61
,81530090,2016,2,22,PK Solvent Czech Rep.,su,174.01
,81528080,2016,2,22,Drogerie Markt Slovak Rep.,su,487.22
,81528080,2016,2,1,NAVO POLAND DISTRIBUTOR [2000561397],su,208.81
,81528080,2016,2,8,NAVO POLAND DISTRIBUTOR [2000561397],su,278.41
,81528080,2016,2,22,NAVO POLAND DISTRIBUTOR [2000561397],su,313.21
,81528080,2016,2,22,Orbico Croatia,su,34.8
,81528080,2016,2,15,SANITEX LITHUANIA [2002730423],su,34.8
,81499715,2016,2,1,Auchan Hungary,su,3
,81499715,2016,2,8,Auchan Hungary,su,7.2
,81499715,2016,2,15,Auchan Hungary,su,9
,81499715,2016,2,22,Auchan Hungary,su,4.8
,81499715,2016,2,31,Auchan Hungary,su,3.6
,81499715,2016,2,22,BALTIC LOGISTIC SOLUTIONS [2002785938],su,42
,81499715,2016,2,1,CARREFOUR POLAND [2000551514],su,42
,81499715,2016,2,8,Konzum Croatia,su,84
,81499715,2016,2,8,Krajcik Emil Slovak Rep.,su,42
,81499715,2016,2,1,Makro Czech Rep.,su,1.2
,81499715,2016,2,8,Makro Czech Rep.,su,3
,81499715,2016,2,1,NAVO POLAND DISTRIBUTOR [2000561397],su,252
,81499715,2016,2,8,NAVO POLAND DISTRIBUTOR [2000561397],su,168
,81499715,2016,2,15,NAVO POLAND DISTRIBUTOR [2000561397],su,126
,81499715,2016,2,15,Rossmann Czech Rep.,su,42
,81499715,2016,2,1,Spar Hungary,su,168
,81499715,2016,2,8,Spar Hungary,su,42
,81499715,2016,2,1,TARKON [2002103008],su,42
,81499715,2016,2,8,TARKON [2002103008],su,84
,81499715,2016,2,15,TARKON [2002103008],su,42
,81499715,2016,2,22,TARKON [2002103008],su,252
,81499715,2016,2,8,Tesco Czech Rep.,su,42
,81499715,2016,2,1,Tesco Slovak Rep.,su,54.6
,81499715,2016,2,8,Tesco Slovak Rep.,su,68.4
,81499715,2016,2,15,Tesco Slovak Rep.,su,68.4
,81499715,2016,2,22,Tesco Slovak Rep.,su,30
,81499715,2016,2,31,Tesco Slovak Rep.,su,34.2
,81527640,2016,2,1,Kaufland Czech Rep.,su,1308.13
,81527640,2016,2,8,Kaufland Czech Rep.,su,992.38
,81527640,2016,2,1,Kaufland Slovak Rep.,su,6.44
,81527640,2016,2,8,Kaufland Slovak Rep.,su,19.33
,81527640,2016,2,1,TESCO POLAND [2000438544],su,45.11
,81527640,2016,2,8,TESCO POLAND [2000438544],su,45.11
,81529505,2016,2,15,Kaufland Slovak Rep.,su,32.22
,81529505,2016,2,22,Kaufland Slovak Rep.,su,45.11
,81529510,2016,2,8,Ahold Czech Rep.,su,380.82
,81529510,2016,2,22,Ahold Czech Rep.,su,95.21
,81529510,2016,2,1,Billa Czech Rep.,su,95.21
,81529510,2016,2,8,Billa Czech Rep.,su,285.62
,81529510,2016,2,1,"Billa, s.r.o Slovak Rep.",su,47.6
,81529510,2016,2,8,"Billa, s.r.o Slovak Rep.",su,47.6
,81529510,2016,2,15,"Billa, s.r.o Slovak Rep.",su,95.21
,81529510,2016,2,31,"Billa, s.r.o Slovak Rep.",su,47.6
,81529510,2016,2,15,GLYNN AESTHETICS CZECH REPUBLI,su,226.68
,81529510,2016,2,8,Orbico Hungary,su,95.21
,81529510,2016,2,22,Orbico Hungary,su,95.21
,81529510,2016,2,15,Orbico Slovenia,su,47.6
,81529510,2016,2,22,Orbico Slovenia,su,95.21
,81529510,2016,2,8,Tesco Hungary,su,47.6
,81529510,2016,2,15,Tesco Hungary,su,47.6
,81529510,2016,2,31,Tesco Hungary,su,47.6
,81529510,2016,2,1,Tesco Slovak Rep.,su,25.69
,81529510,2016,2,8,Tesco Slovak Rep.,su,21.91
,81529510,2016,2,15,Tesco Slovak Rep.,su,27.2
,81529510,2016,2,22,Tesco Slovak Rep.,su,13.6
,81527646,2016,2,1,AUCHAN POLAND [2000422074],su,285.62
,81527646,2016,2,8,AUCHAN POLAND [2000422074],su,428.43
,81527646,2016,2,15,AUCHAN POLAND [2000422074],su,190.41
,81527646,2016,2,22,AUCHAN POLAND [2000422074],su,238.01
,81527646,2016,2,31,AUCHAN POLAND [2000422074],su,428.43
,81527646,2016,2,8,BALTIC LOGISTIC SOLUTIONS [2002785938],su,47.6
,81527646,2016,2,15,BALTIC LOGISTIC SOLUTIONS [2002785938],su,238.01
,81527646,2016,2,22,BALTIC LOGISTIC SOLUTIONS [2002785938],su,476.03
,81527646,2016,2,1,CARREFOUR POLAND [2000551514],su,47.6
,81527646,2016,2,8,CARREFOUR POLAND [2000551514],su,95.21
,81527646,2016,2,15,CARREFOUR POLAND [2000551514],su,190.41
,81527646,2016,2,22,CARREFOUR POLAND [2000551514],su,285.62
,81527646,2016,2,31,CARREFOUR POLAND [2000551514],su,142.81
,81527646,2016,2,1,KAUFLAND POLAND MARKETY [2000571507],su,2522.95
,81527646,2016,2,8,KAUFLAND POLAND MARKETY [2000571507],su,380.82
,81527646,2016,2,1,LE CLERC POLAND [2000519165],su,47.6
,81527646,2016,2,8,LE CLERC POLAND [2000519165],su,47.6
,81527646,2016,2,15,LE CLERC POLAND [2000519165],su,95.21
,81527646,2016,2,22,LE CLERC POLAND [2000519165],su,47.6
,81527646,2016,2,1,NAVO POLAND DISTRIBUTOR [2000561397],su,142.81
,81527646,2016,2,8,NAVO POLAND DISTRIBUTOR [2000561397],su,238.01
,81527646,2016,2,31,NAVO POLAND DISTRIBUTOR [2000561397],su,47.6
,81527646,2016,2,8,Orbico Slovenia,su,95.21
,81527646,2016,2,15,Orbico Slovenia,su,47.6
,81527646,2016,2,8,SANITEX ESTONIA [2002730421],su,142.81
,81527646,2016,2,15,SANITEX ESTONIA [2002730421],su,142.81
,81527646,2016,2,22,SANITEX ESTONIA [2002730421],su,238.01
,81527646,2016,2,1,SANITEX LITHUANIA [2002730423],su,95.21
,81527646,2016,2,15,SANITEX LITHUANIA [2002730423],su,142.81
,81527646,2016,2,22,SANITEX LITHUANIA [2002730423],su,95.21
,81527646,2016,2,8,SELGROS POLAND [2000341203],su,95.21
,81527646,2016,2,15,SELGROS POLAND [2000341203],su,238.01
,81527646,2016,2,22,SELGROS POLAND [2000341203],su,47.6
,81527646,2016,2,1,TARKON [2002103008],su,47.6
,81527646,2016,2,15,TARKON [2002103008],su,95.21
,81527646,2016,2,22,TARKON [2002103008],su,47.6
,81529520,2016,2,22,Billa Croatia,su,92.09
,81529520,2016,2,8,Metro Croatia,su,12.33
,81529520,2016,2,8,Spar Croatia,su,46.04
